country,country_name,year,quarter,time,period,gdp_real_usd,emp,gdp_per_worker,y
AUS,Australia,1964,1,1964.0,1964-Q1,256157895397.965,4463528.52275507,57389.10238661453,10.957609710391393
AUS,Australia,1964,2,1964.25,1964-Q2,262555617558.817,4483763.15060297,58556.97741828956,10.97775553217825
AUS,Australia,1964,3,1964.5,1964-Q3,264199362148.222,4503384.53171229,58666.84496688257,10.979630024555787
AUS,Australia,1964,4,1964.75,1964-Q4,271629361330.431,4542132.98928247,59802.159463706244,10.998797050719936
AUS,Australia,1965,1,1965.0,1965-Q1,273824409456.247,4702370.38030553,58231.14457403836,10.972175620726572
AUS,Australia,1965,2,1965.25,1965-Q2,278088580517.924,4736473.58769582,58712.15691782362,10.980402086891711
AUS,Australia,1965,3,1965.5,1965-Q3,277341918400.134,4763747.09289972,58219.27843598312,10.971971823474668
AUS,Australia,1965,4,1965.75,1965-Q4,278189122024.938,4798840.94311677,57970.06513082274,10.967682037859502
AUS,Australia,1966,1,1966.0,1966-Q1,277643981411.285,4785645.33878096,58015.996121018194,10.968474046694023
AUS,Australia,1966,2,1966.25,1966-Q2,281546422084.232,4814739.72236891,58475.938123132386,10.976370634472598
AUS,Australia,1966,3,1966.5,1966-Q3,289461226143.369,4852855.11465115,59647.6134779839,10.996209417974374
AUS,Australia,1966,4,1966.75,1966-Q4,291240355728.966,4872904.85238239,59767.29785449782,10.998213931736574
AUS,Australia,1967,1,1967.0,1967-Q1,302303663877.684,4909822.32807532,61571.20231195593,11.027949545276003
AUS,Australia,1967,2,1967.25,1967-Q2,301782782338.292,4933654.12518012,61168.20812348178,11.021382858419972
AUS,Australia,1967,3,1967.5,1967-Q3,307460602968.341,4966555.28892217,61906.20763935266,11.033375738609797
AUS,Australia,1967,4,1967.75,1967-Q4,310320575933.852,4993974.61620912,62138.997448371796,11.037129049060399
AUS,Australia,1968,1,1968.0,1968-Q1,307937479882.778,5030343.65451299,61215.99259058789,11.02216375120279
AUS,Australia,1968,2,1968.25,1968-Q2,319829914102.924,5060357.04333237,63203.03317813087,11.054107572308162
AUS,Australia,1968,3,1968.5,1968-Q3,323868943987.864,5093243.77814224,63587.95260846422,11.06017930698993
AUS,Australia,1968,4,1968.75,1968-Q4,335445047946.801,5103670.88681124,65726.23027351715,11.093253367924484
AUS,Australia,1969,1,1969.0,1969-Q1,332448190549.545,5167333.51020669,64336.50738681415,11.071882515620725
AUS,Australia,1969,2,1969.25,1969-Q2,338568917756.996,5189135.27033372,65245.729802534544,11.085915879404094
AUS,Australia,1969,3,1969.5,1969-Q3,343995160118.341,5222607.02095365,65866.56027118184,11.095386160310426
AUS,Australia,1969,4,1969.75,1969-Q4,352056151834.128,5277101.82175943,66713.9205808899,11.108168914489157
AUS,Australia,1970,1,1970.0,1970-Q1,359759617239.494,5345501.7708398,67301.37462530001,11.116935940763007
AUS,Australia,1970,2,1970.25,1970-Q2,367307808919.452,5400121.67241263,68018.43202828219,11.12753400666777
AUS,Australia,1970,3,1970.5,1970-Q3,366699146182.716,5434512.04367052,67476.0021205223,11.11952728950652
AUS,Australia,1970,4,1970.75,1970-Q4,368396306701.775,5469910.90883142,67349.59907792692,11.117652229006048
AUS,Australia,1971,1,1971.0,1971-Q1,372654871686.349,5503912.4063858,67707.26787984197,11.12294880734573
AUS,Australia,1971,2,1971.25,1971-Q2,374333727184.533,5554021.59843166,67398.68049671198,11.118380719508643
AUS,Australia,1971,3,1971.5,1971-Q3,386295923712.888,5561626.3833592,69457.36679988324,11.148468415989544
AUS,Australia,1971,4,1971.75,1971-Q4,385678577699.092,5554309.41428882,69437.71924317161,11.148185503794414
AUS,Australia,1972,1,1972.0,1972-Q1,381954892873.707,5561235.94918161,68681.65572617277,11.137237422556769
AUS,Australia,1972,2,1972.25,1972-Q2,390781393640.592,5592771.08260811,69872.58871649661,11.154428701332401
AUS,Australia,1972,3,1972.5,1972-Q3,388701812695.665,5636917.71596867,68956.44610786534,11.141230368450774
AUS,Australia,1972,4,1972.75,1972-Q4,392135428592.997,5691364.74030965,68900.06992798393,11.140412471921175
AUS,Australia,1973,1,1973.0,1973-Q1,401118358313.461,5717231.21866921,70159.54803500648,11.158527185106935
AUS,Australia,1973,2,1973.25,1973-Q2,401080106050.521,5730584.76582224,69989.3854537501,11.15609887315854
AUS,Australia,1973,3,1973.5,1973-Q3,404598257645.284,5805835.46705067,69688.20593374781,11.151786370576266
AUS,Australia,1973,4,1973.75,1973-Q4,414522506819.5,5845081.87497014,70918.16944336945,11.169281948283805
AUS,Australia,1974,1,1974.0,1974-Q1,414852401156.964,5896302.54424277,70358.05880789335,11.161352609043574
AUS,Australia,1974,2,1974.25,1974-Q2,406885397248.424,5921065.30151716,68718.27560222438,11.13777046324412
AUS,Australia,1974,3,1974.5,1974-Q3,412268413065.784,5872888.54590621,70198.57602323515,11.159083305238868
AUS,Australia,1974,4,1974.75,1974-Q4,413480021900.263,5884739.19535787,70263.10056806484,11.160002054764494
AUS,Australia,1975,1,1975.0,1975-Q1,416018841741.598,5848059.80328622,71137.92535223787,11.172375882190469
AUS,Australia,1975,2,1975.25,1975-Q2,429580799345.953,5840916.15914732,73546.81828007352,11.205677465815471
AUS,Australia,1975,3,1975.5,1975-Q3,424797441820.274,5846301.02922439,72660.89099702594,11.193558568251976
AUS,Australia,1975,4,1975.75,1975-Q4,417890878165.68,5939419.85926292,70358.87141636424,11.161364158591585
AUS,Australia,1976,1,1976.0,1976-Q1,435197299048.854,5963806.1199151,72973.07965723229,11.197845880298743
AUS,Australia,1976,2,1976.25,1976-Q2,435792686418.035,5969281.09221592,73005.8912766428,11.198295419294027
AUS,Australia,1976,3,1976.5,1976-Q3,439058806438.977,5912305.07949378,74261.86580963273,11.215352852780809
AUS,Australia,1976,4,1976.75,1976-Q4,443031845490.591,5946668.19783819,74500.85169568527,11.218565836459154
AUS,Australia,1977,1,1977.0,1977-Q1,441273343300.154,6000869.59995809,73534.89955909654,11.205515396441003
AUS,Australia,1977,2,1977.25,1977-Q2,447791958156.87,6011779.67022821,74485.75675094087,11.218363201538425
AUS,Australia,1977,3,1977.5,1977-Q3,445852756289.93,6011504.8212498,74166.5805064158,11.2140689302084
AUS,Australia,1977,4,1977.75,1977-Q4,444144850356.116,5982993.11019186,74234.55821794743,11.214985064907506
AUS,Australia,1978,1,1978.0,1978-Q1,446522959230.571,6034537.81117301,73994.55819198432,11.211746831536102
AUS,Australia,1978,2,1978.25,1978-Q2,450016014007.066,6042453.30191585,74475.71235087274,11.21822834250214
AUS,Australia,1978,3,1978.5,1978-Q3,457038704454.948,6022242.12409755,75891.7849925266,11.237063722908365
AUS,Australia,1978,4,1978.75,1978-Q4,461418678197.641,6042074.23354035,76367.59502825125,11.24331373633317
AUS,Australia,1979,1,1979.0,1979-Q1,475205202255.768,6063797.62395055,78367.58937646948,11.269165720054488
AUS,Australia,1979,2,1979.25,1979-Q2,468329723915.955,6087650.20127857,76931.11601872151,11.250665703285511
AUS,Australia,1979,3,1979.5,1979-Q3,472927010433.605,6113698.51962615,77355.3044716579,11.256164431176163
AUS,Australia,1979,4,1979.75,1979-Q4,481781462495.137,6177347.94842966,77991.63435784938,11.264356848097396
AUS,Australia,1980,1,1980.0,1980-Q1,483380110924.871,6223063.36750621,77675.58875406046,11.260296313943632
AUS,Australia,1980,2,1980.25,1980-Q2,484225297079.768,6258522.36737866,77370.54669704448,11.256361453526607
AUS,Australia,1980,3,1980.5,1980-Q3,486800410473.062,6318105.77116995,77048.47435355916,11.252190039819702
AUS,Australia,1980,4,1980.75,1980-Q4,495402770949.216,6337388.74154518,78171.43482165922,11.266659576190596
AUS,Australia,1981,1,1981.0,1981-Q1,497882203024.035,6367563.7386593,78190.37601480921,11.266901850095476
AUS,Australia,1981,2,1981.25,1981-Q2,505696241361.359,6420275.50901526,78765.50479045136,11.274230423536284
AUS,Australia,1981,3,1981.5,1981-Q3,515412249146.469,6440120.95200524,80031.45484185149,11.29017502190199
AUS,Australia,1981,4,1981.75,1981-Q4,512356151121.764,6437868.29815353,79584.75187644252,11.284577794141466
AUS,Australia,1982,1,1982.0,1982-Q1,506822055863.475,6454980.83160822,78516.43081288644,11.271063191586576
AUS,Australia,1982,2,1982.25,1982-Q2,510500382446.56,6432836.74242422,79358.51676132815,11.28173105178067
AUS,Australia,1982,3,1982.5,1982-Q3,507054144480.903,6415428.64223886,79036.67436069416,11.277667256140479
AUS,Australia,1982,4,1982.75,1982-Q4,499523858265.154,6356320.87526204,78586.9480266855,11.2719609089884
AUS,Australia,1983,1,1983.0,1983-Q1,495974622434.259,6295060.71209821,78787.90135908719,11.274514728005911
AUS,Australia,1983,2,1983.25,1983-Q2,495785882634.043,6261714.23358203,79177.34092289091,11.27944543740981
AUS,Australia,1983,3,1983.5,1983-Q3,510005035122.944,6290321.77772023,81077.73388149033,11.303163651007743
AUS,Australia,1983,4,1983.75,1983-Q4,518546174432.032,6354384.52689951,81604.46888867235,11.30963930524516
AUS,Australia,1984,1,1984.0,1984-Q1,530692194096.602,6417127.17322548,82699.34189723358,11.322966923268313
AUS,Australia,1984,2,1984.25,1984-Q2,536592491218.987,6481133.9366768,82792.99524769961,11.324098738336966
AUS,Australia,1984,3,1984.5,1984-Q3,541447728482.068,6522112.23811843,83017.23563074878,11.326803523422548
AUS,Australia,1984,4,1984.75,1984-Q4,544853896844.544,6555040.29067929,83119.83949500356,11.328038694767919
AUS,Australia,1985,1,1985.0,1985-Q1,553218469155.532,6607783.51693139,83722.24479479359,11.335259989325095
AUS,Australia,1985,2,1985.25,1985-Q2,565584005587.511,6623863.7664811,85385.81491508771,11.354935264283382
AUS,Australia,1985,3,1985.5,1985-Q3,572560665313.927,6733263.89008753,85034.63916761533,11.350813972077889
AUS,Australia,1985,4,1985.75,1985-Q4,570439165077.828,6824788.07313332,83583.42544341226,11.333600519170368
AUS,Australia,1986,1,1986.0,1986-Q1,573498041101.27,6898734.63070513,83130.90324546256,11.32817179192337
AUS,Australia,1986,2,1986.25,1986-Q2,572015332882.301,6981862.56379351,81928.75864510049,11.313605351612564
AUS,Australia,1986,3,1986.5,1986-Q3,573449226878.111,6988163.04130937,82060.0812385545,11.315206955985383
AUS,Australia,1986,4,1986.75,1986-Q4,583176880710.985,7029196.72922533,82964.93940570866,11.326173380736936
AUS,Australia,1987,1,1987.0,1987-Q1,589643044717.784,7065301.96350268,83456.17041758592,11.332076867849384
AUS,Australia,1987,2,1987.25,1987-Q2,599720982299.777,7096081.70548742,84514.3851480756,11.344677037295112
AUS,Australia,1987,3,1987.5,1987-Q3,611192012666.886,7156343.53039391,85405.62789797262,11.355167278049967
AUS,Australia,1987,4,1987.75,1987-Q4,624216825615.446,7197211.96418267,86730.36569186737,11.370559340109914
AUS,Australia,1988,1,1988.0,1988-Q1,627498524107.665,7316351.62159723,85766.58921850397,11.35938480659126
AUS,Australia,1988,2,1988.25,1988-Q2,628455129825.977,7352514.04498323,85474.86288105561,11.355977610306807
AUS,Australia,1988,3,1988.5,1988-Q3,633392354580.95,7418800.77186693,85376.64968479236,11.354827919495103
AUS,Australia,1988,4,1988.75,1988-Q4,643181016687.754,7505301.27165261,85696.89522218613,11.358571875483703
AUS,Australia,1989,1,1989.0,1989-Q1,648274839061.225,7582292.1630385,85498.53067142137,11.356254469647611
AUS,Australia,1989,2,1989.25,1989-Q2,661708310304.323,7685205.99821531,86101.57105196499,11.363282937078212
AUS,Australia,1989,3,1989.5,1989-Q3,666907834818.875,7771080.65306817,85819.18842337161,11.359997901770104
AUS,Australia,1989,4,1989.75,1989-Q4,665093555555.786,7840498.71574468,84827.9656267524,11.348380550747768
AUS,Australia,1990,1,1990.0,1990-Q1,670516720381.376,7835614.23967031,85572.96210253307,11.357124648946353
AUS,Australia,1990,2,1990.25,1990-Q2,671374145177.31,7888539.9481647,85107.5293512975,11.351670787161133
AUS,Australia,1990,3,1990.5,1990-Q3,667327015669.186,7880142.19056523,84684.64141017228,11.346689534920227
AUS,Australia,1990,4,1990.75,1990-Q4,670126360180.816,7830972.94636644,85573.83160054892,11.357134809791287
AUS,Australia,1991,1,1991.0,1991-Q1,660531504004.986,7744826.62108397,85286.80321994575,11.353775011310981
AUS,Australia,1991,2,1991.25,1991-Q2,658744114806.781,7692135.35148308,85638.65359958494,11.357892020949778
AUS,Australia,1991,3,1991.5,1991-Q3,661629098530.902,7630472.56512153,86708.7972447699,11.370310625265544
AUS,Australia,1991,4,1991.75,1991-Q4,662715260181.454,7614706.95214475,87030.96052761351,11.374019202464163
AUS,Australia,1992,1,1992.0,1992-Q1,669103962651.821,7649147.68102421,87474.31616619395,11.379100499728269
AUS,Australia,1992,2,1992.25,1992-Q2,674969373396.664,7632852.41326454,88429.50667088586,11.389960978801374
AUS,Australia,1992,3,1992.5,1992-Q3,682366162849.928,7649851.70855055,89199.92031835331,11.398635425275698
AUS,Australia,1992,4,1992.75,1992-Q4,697009945868.893,7605810.73329404,91641.76842026428,11.425642433852476
AUS,Australia,1993,1,1993.0,1993-Q1,702090788156.267,7629424.05066778,92024.08772845901,11.429805644896906
AUS,Australia,1993,2,1993.25,1993-Q2,706211683897.11,7606525.40648657,92842.87452650565,11.438663822064438
AUS,Australia,1993,3,1993.5,1993-Q3,707030427858.78,7644879.41413259,92484.18314509172,11.434792915853507
AUS,Australia,1993,4,1993.75,1993-Q4,719576248174.978,7732750.50521307,93055.66598713773,11.440953152071886
AUS,Australia,1994,1,1994.0,1994-Q1,730998863450.424,7789617.57820793,93842.71514117086,11.449375416638228
AUS,Australia,1994,2,1994.25,1994-Q2,739474933359.298,7856617.69720707,94121.28244730199,11.452339468410413
AUS,Australia,1994,3,1994.5,1994-Q3,745144767022.693,7947666.95839921,93756.41567808943,11.448455375390786
AUS,Australia,1994,4,1994.75,1994-Q4,753782250252.379,8003235.25205246,94184.69237913114,11.453012946076582
AUS,Australia,1995,1,1995.0,1995-Q1,753812781106.713,8077377.21141813,93323.95422131926,11.443832097947904
AUS,Australia,1995,2,1995.25,1995-Q2,757850112910.843,8188264.72399517,92553.20125276523,11.43553890684445
