country,iso3,numeric_code,year,quarter,t,GDP,GDP_usd_pa,GDP_usd_eop,empl,empl_source,realGDP_empl,realGDP_usd_pa_empl,realGDP_usd_eop_empl,baseyear,baseyear_str,er_iso3,NER_pa_base,NER_eop_base,source,empl_q,empl_interp,empl_annual
Albania,ALB,008,2009,1,2009q1,269941.36188,2597.171629004842,2595.590018076923,1150.294691335389,interpolated from annual,.2346714836757373,.0022578315353171,.0022564565738052,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1150.294691335389,1160.508
Albania,ALB,008,2009,2,2009q2,324894.603772,3125.890161688207,3123.986574730769,1159.663590121949,interpolated from annual,.2801628045749323,.0026955146202008,.0026938731209128,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1159.663590121949,1160.508
Albania,ALB,008,2009,3,2009q3,300378.46999,2890.014463840158,2888.254519134615,1165.19244939328,interpolated from annual,.2577930110570217,.0024802893851097,.0024787789524714,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1165.19244939328,1160.508
Albania,ALB,008,2009,4,2009q4,300121.34148,2887.540567781661,2885.782129615384,1166.881269149382,interpolated from annual,.2571995535576457,.002474579585879,.002473072630362,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1166.881269149382,1160.508
Albania,ALB,008,2010,1,2010q1,275301.105782,2648.739031288284,2647.126017134615,1166.527892452505,interpolated from annual,.2360004484789538,.0022706178295656,.0022692350815284,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1166.527892452505,1167.241
Albania,ALB,008,2010,2,2010q2,331209.907636,3186.651239241845,3184.710650346154,1168.213760822337,interpolated from annual,.283518238479619,.0027277980675375,.0027261369084579,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1168.213760822337,1167.241
Albania,ALB,008,2010,3,2010q3,314111.362308,3022.141967621307,3020.301560653846,1168.083934184916,interpolated from annual,.2689116364974111,.0025872643901486,.0025856888124751,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1168.083934184916,1167.241
Albania,ALB,008,2010,4,2010q4,319023.209011,3069.400041797889,3067.530855875,1166.138412540241,interpolated from annual,.2735723354795082,.0026321061108961,.0026305032257645,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1166.138412540241,1167.241
Albania,ALB,008,2011,1,2011q1,292272.294936,2812.022978121292,2810.310528230769,1164.626548957416,interpolated from annual,.2509579531718942,.0024145276274516,.0024130572420374,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1164.626548957416,1159.471
Albania,ALB,008,2011,2,2011q2,326390.182264,3140.279486841345,3138.367137153846,1162.680302612263,interpolated from annual,.2807222084442988,.0027008967811581,.0026992520042721,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1162.680302612263,1159.471
Albania,ALB,008,2011,3,2011q3,320283.47135,3081.525332895032,3079.648762980769,1158.497876827423,interpolated from annual,.2764644439635096,.0026599317914452,.0026583119611876,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1158.497876827423,1159.471
Albania,ALB,008,2011,4,2011q4,332252.609843,3196.683331288284,3194.736633105769,1152.079271602898,interpolated from annual,.2883938788176738,.0027747077914532,.0027730180655546,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1152.079271602898,1159.471
Albania,ALB,008,2012,1,2012q1,290012.63487,2790.282237933356,2788.583027596153,1144.004,observed quarterly,.2535066615763581,.0024390493721467,.0024375640536188,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1144.004,1154.153613097283,1133.846
Albania,ALB,008,2012,2,2012q2,340268.114816,3273.802458060998,3271.808796307692,1160.945,observed quarterly,.2930958097205294,.0028199462145588,.0028182289396205,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1160.945,1147.687425832298,1133.846
Albania,ALB,008,2012,3,2012q3,324695.630121,3123.975787700843,3122.073366548077,1105.871,observed quarterly,.2936107648369475,.0028249007232316,.0028231804311245,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1105.871,1130.612906367507,1133.846
Albania,ALB,008,2012,4,2012q4,334241.745858,3215.821293653185,3213.862940942307,1124.374,observed quarterly,.2972691878841026,.0028600993029483,.0028583575758087,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1124.374,1102.930054702912,1133.846
Albania,ALB,008,2013,1,2013q1,295244.264236,2840.617019043648,2838.887156115385,1092.265,observed quarterly,.27030460944551,.0026006665223583,.0025990827831299,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1092.265,1051.205754313411,1024.141
