country,iso3,numeric_code,year,quarter,t,GDP,GDP_usd_pa,GDP_usd_eop,empl,empl_source,realGDP_empl,realGDP_usd_pa_empl,realGDP_usd_eop_empl,baseyear,baseyear_str,er_iso3,NER_pa_base,NER_eop_base,source,empl_q,empl_interp,empl_annual,country_ilo,empl_q_raw,sfe,has_fe,nq_fe,gap_year,fill_incons,q_discard,q_unscreen,dev_q
Albania,ALB,008,2009,1,2009q1,269941.36188,2597.171629004842,2595.590018076923,1146.048745277316,filled: annual level + quarter FE,.235540907829955,.0022661964769888,.0022648164214419,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1146.048745277316,1160.508,Albania,,-.01250748439498,1,52,0,0,0,0,
Albania,ALB,008,2009,2,2009q2,324894.603772,3125.890161688207,3123.986574730769,1161.480978220709,filled: annual level + quarter FE,.279724429296906,.0026912969048161,.0026896579740087,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1161.480978220709,1160.508,Albania,,.0008682592567303,1,52,0,0,0,0,
Albania,ALB,008,2009,3,2009q3,300378.46999,2890.014463840158,2888.254519134615,1170.666423397968,filled: annual level + quarter FE,.2565875846324554,.0024686916837092,.0024671883137736,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1170.666423397968,1160.508,Albania,,.0087455423722461,1,52,0,0,0,0,
Albania,ALB,008,2009,4,2009q4,300121.34148,2887.540567781661,2885.782129615384,1163.835853104004,filled: annual level + quarter FE,.2578725691252443,.0024810548326729,.0024795439338966,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1163.835853104004,1160.508,Albania,,.0028936827660035,1,52,0,0,0,0,
Albania,ALB,008,2010,1,2010q1,275301.105782,2648.739031288284,2647.126017134615,1152.697856013264,filled: annual level + quarter FE,.2388319752186927,.002297860638389,.0022964613001797,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1152.697856013264,1167.241,Albania,,-.01250748439498,1,52,0,0,0,0,
Albania,ALB,008,2010,2,2010q2,331209.907636,3186.651239241845,3184.710650346154,1168.219623216143,filled: annual level + quarter FE,.2835168157201207,.0027277843788216,.0027261232280781,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1168.219623216143,1167.241,Albania,,.0008682592567303,1,52,0,0,0,0,
Albania,ALB,008,2010,3,2010q3,314111.362308,3022.141967621307,3020.301560653846,1177.458360229717,filled: annual level + quarter FE,.2667706756498109,.0025666656840686,.002565102650479,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1177.458360229717,1167.241,Albania,,.0087455423722461,1,52,0,0,0,0,
Albania,ALB,008,2010,4,2010q4,319023.209011,3069.400041797889,3067.530855875,1170.588160540877,filled: annual level + quarter FE,.2725324070111846,.0026221007056655,.0026205039135691,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1170.588160540877,1167.241,Albania,,.0028936827660035,1,52,0,0,0,0,
Albania,ALB,008,2011,1,2011q1,292272.294936,2812.022978121292,2810.310528230769,1145.024665694192,filled: annual level + quarter FE,.2552541475242409,.0024558623603243,.0024543668031177,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1145.024665694192,1159.471,Albania,,-.01250748439498,1,52,0,0,0,0,
Albania,ALB,008,2011,2,2011q2,326390.182264,3140.279486841345,3138.367137153846,1160.443108792481,filled: annual level + quarter FE,.2812634068753539,.0027061037831566,.0027044558353399,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1160.443108792481,1159.471,Albania,,.0008682592567303,1,52,0,0,0,0,
