time,ybar,tau,n,n_delta
1990.0,-5.930314680327367,-5.288637736326801,5,0
1990.25,-5.932608428601782,-5.2909314846012165,5,5
1990.5,-5.92087737061516,-5.279200426614595,5,5
1990.75,-5.90712077702521,-5.265443833024645,5,5
1991.0,-5.771743451213237,-5.28884815763247,7,5
1991.25,-5.755171846717771,-5.272276553137004,7,7
1991.5,-5.746864324478856,-5.263969030898089,7,7
1991.75,-5.740397364723691,-5.257502071142924,7,7
1992.0,-5.748304073920045,-5.265408780339278,7,7
1992.25,-5.747062262379861,-5.264166968799093,7,7
1992.5,-5.73435891720991,-5.251463623629144,7,7
1992.75,-5.735223048749323,-5.252327755168556,7,7
1993.0,-5.84041339294816,-5.240671547685604,8,7
1993.25,-5.828655837831397,-5.228913992568842,8,8
1993.5,-5.8159442892771605,-5.216202444014605,8,8
1993.75,-5.8069204703207,-5.207178625058145,8,8
1994.0,-5.777345301178198,-5.210690424883505,9,8
1994.25,-5.778702753124247,-5.212047876829554,9,9
1994.5,-5.7623702924243885,-5.195715416129694,9,9
1994.75,-5.748479453287171,-5.181824576992477,9,9
1995.0,-5.642117406774427,-5.182726435668411,13,9
1995.25,-5.644503262211172,-5.185112291105155,13,13
1995.5,-5.642555349653934,-5.183164378547917,13,13
1995.75,-5.640125794018667,-5.18073482291265,13,13
1996.0,-5.627990948368574,-5.167711081313983,16,13
1996.25,-5.742939346996208,-5.165688412361979,17,16
1996.5,-5.746121849179671,-5.168870914545442,17,17
1996.75,-5.7370933524071575,-5.159842417772929,17,17
1997.0,-5.8010236349489706,-5.166638560058831,20,17
1997.25,-5.784258696133645,-5.149873621243506,20,20
1997.5,-5.782784310534658,-5.1483992356445185,20,20
1997.75,-5.781219875209223,-5.146834800319085,20,20
1998.0,-5.792610254320639,-5.1582251794305,20,20
1998.25,-5.799470555466529,-5.16508548057639,20,20
1998.5,-5.7938862644175,-5.1595011895273615,20,20
1998.75,-5.795572506134766,-5.161187431244627,20,20
1999.0,-5.828663120717936,-5.1680013366435675,21,20
1999.25,-5.828148396408649,-5.1674866123342795,21,21
1999.5,-5.821216005642283,-5.1605542215679145,21,21
1999.75,-5.812686826973531,-5.1520250428991625,21,21
2000.0,-5.813571897262803,-5.15593163172457,25,21
2000.25,-5.813283893108727,-5.155643627570492,25,25
2000.5,-5.813437915581323,-5.155797650043089,25,25
2000.75,-5.80713472279172,-5.149494457253487,25,25
2001.0,-5.849358774170485,-5.147239923807782,26,25
2001.25,-5.85187428088767,-5.149755430524966,26,26
2001.5,-5.852550272655323,-5.150431422292621,26,26
2001.75,-5.848469474302704,-5.146350623940001,26,26
2002.0,-5.854294075912669,-5.133782026143144,28,26
2002.25,-5.842186612974219,-5.121674563204693,28,28
2002.5,-5.839149959937774,-5.118637910168246,28,28
2002.75,-5.832956636605046,-5.112444586835521,28,28
2003.0,-5.863087814663733,-5.107751490735895,29,28
2003.25,-5.853434189998047,-5.0980978660702085,29,29
2003.5,-5.8115639107223895,-5.091145567258611,30,29
2003.75,-5.803042089584035,-5.082623746120256,30,30
2004.0,-5.797811133063561,-5.077392789599783,30,30
2004.25,-5.786923722671959,-5.066505379208181,30,30
2004.5,-5.77613945701441,-5.05572111355063,30,30
2004.75,-5.767418786004612,-5.047000442540833,30,30
2005.0,-5.771407413797214,-5.038608057416026,33,30
2005.25,-5.754790895472775,-5.021991539091587,33,33
2005.5,-5.746786779365755,-5.013987422984567,33,33
2005.75,-5.733562047881404,-5.000762691500214,33,33
2006.0,-5.724303803072333,-4.9915044466911445,33,33
2006.25,-5.715699780839766,-4.982900424458578,33,33
2006.5,-5.7047860687825205,-4.971986712401332,33,33
2006.75,-5.693944043368963,-4.961144686987775,33,33
2007.0,-5.730783441187986,-4.953605048597126,34,33
2007.25,-5.720455633329974,-4.943277240739113,34,34
2007.5,-5.7072494230643045,-4.930071030473444,34,34
2007.75,-5.696698284661165,-4.919519892070306,34,34
2008.0,-5.677956536336039,-4.91210073765707,36,34
2008.25,-5.66865967520534,-4.902803876526372,36,36
2008.5,-5.6717200886321,-4.905864289953131,36,36
2008.75,-5.682696499366032,-4.916840700687063,36,36
2009.0,-5.740104046648175,-4.934223225026451,37,36
2009.25,-5.732561686790682,-4.926680865168958,37,37
2009.5,-5.719538280478669,-4.913657458856944,37,37
2009.75,-5.7075154939569535,-4.901634672335231,37,37
2010.0,-5.754042071970166,-4.897092856423142,40,37
2010.25,-5.738952209907419,-4.882002994360395,40,40
2010.5,-5.73129452246147,-4.874345306914445,40,40
2010.75,-5.719866738334995,-4.862917522787971,40,40
2011.0,-5.719643989803925,-4.862694774256901,40,40
2011.25,-5.710190050641655,-4.853240835094632,40,40
2011.5,-5.704421691982459,-4.847472476435435,40,40
2011.75,-5.7033178505311914,-4.8463686349841675,40,40
2012.0,-5.703391004326899,-4.846441788779875,40,40
2012.25,-5.699930587462596,-4.842981371915572,40,40
2012.5,-5.694062988191234,-4.83711377264421,40,40
2012.75,-5.685755952367957,-4.828806736820933,40,40
2013.0,-5.67900980288817,-4.822060587341146,40,40
2013.25,-5.6691520496449375,-4.8122028340979135,40,40
2013.5,-5.663422494099487,-4.806473278552463,40,40
2013.75,-5.661224046372779,-4.804274830825755,40,40
2014.0,-5.683838697672875,-4.801320589346911,41,40
2014.25,-5.675570980169916,-4.793052871843952,41,41
2014.5,-5.673453197181455,-4.79093508885549,41,41
2014.75,-5.663419655948358,-4.780901547622394,41,41
2015.0,-5.6636301868085965,-4.781112078482632,41,41
2015.25,-5.657641686982175,-4.775123578656211,41,41
2015.5,-5.652189057693333,-4.7696709493673675,41,41
2015.75,-5.653640975771113,-4.77112286744515,41,41
2016.0,-5.654033315571145,-4.771515207245181,41,41
2016.25,-5.643100617739741,-4.760582509413776,41,41
2016.5,-5.643934019107328,-4.7614159107813645,41,41
2016.75,-5.6348646764764005,-4.752346568150435,41,41
2017.0,-5.648101418651527,-4.747520201717942,43,41
2017.25,-5.638066167478266,-4.7374849505446806,43,43
2017.5,-5.631768053320955,-4.735899085256792,42,42
2017.75,-5.625463760676514,-4.72959479261235,42,42
2018.0,-5.619779908640662,-4.7239109405764985,42,42
2018.25,-5.611550384082725,-4.715681416018562,42,42
2018.5,-5.609177490378038,-4.713308522313874,42,42
2018.75,-5.611589528215722,-4.715720560151559,42,42
2019.0,-5.607450050997623,-4.711581082933459,42,42
2019.25,-5.5975064303937705,-4.701637462329607,42,42
2019.5,-5.597960441769273,-4.70209147370511,42,42
2019.75,-5.602479532802618,-4.706610564738454,42,42
2020.0,-5.589898264538543,-4.69402929647438,42,42
2020.25,-5.659889664971119,-4.764020696906956,42,42
2020.5,-5.613392712727131,-4.717523744662968,42,42
2020.75,-5.602022692738602,-4.70615372467444,42,42
2021.0,-5.581593476544201,-4.685724508480038,42,42
2021.25,-5.57875726025036,-4.682888292186196,42,42
2021.5,-5.574471791956464,-4.6786028238923,42,42
2021.75,-5.566570367504927,-4.670701399440764,42,42
2022.0,-5.495955948111659,-4.664566313721917,40,40
