country,country_name,iso3,year,quarter,time,period,t,realGDPsa_usd_pa_empl,y
ALB,Albania,ALB,2002,1,2002.0,2002-Q1,2002q1,0.0016686581766862,-6.395735462536428
ALB,Albania,ALB,2002,2,2002.25,2002-Q2,2002q2,0.0016855139521761,-6.385684745557525
ALB,Albania,ALB,2002,3,2002.5,2002-Q3,2002q3,0.0017125027561469,-6.369799378400343
ALB,Albania,ALB,2002,4,2002.75,2002-Q4,2002q4,0.0017616937713393,-6.3414795626341265
ALB,Albania,ALB,2003,1,2003.0,2003-Q1,2003q1,0.001784374398833,-6.328687402026155
ALB,Albania,ALB,2003,2,2003.25,2003-Q2,2003q2,0.0018049306353516,-6.317233117103801
ALB,Albania,ALB,2003,3,2003.5,2003-Q3,2003q3,0.0018315821352954,-6.302575130834819
ALB,Albania,ALB,2003,4,2003.75,2003-Q4,2003q4,0.0018379894402582,-6.299083000300075
ALB,Albania,ALB,2004,1,2004.0,2004-Q1,2004q1,0.0018733951773915,-6.280002891447121
ALB,Albania,ALB,2004,2,2004.25,2004-Q2,2004q2,0.0019051536938433,-6.263192594475028
ALB,Albania,ALB,2004,3,2004.5,2004-Q3,2004q3,0.0019383767437747,-6.245904386173891
ALB,Albania,ALB,2004,4,2004.75,2004-Q4,2004q4,0.0019852661965117,-6.222002269798005
ALB,Albania,ALB,2005,1,2005.0,2005-Q1,2005q1,0.0019933267568841,-6.217950298915173
ALB,Albania,ALB,2005,2,2005.25,2005-Q2,2005q2,0.0020477518003199,-6.191012770399177
ALB,Albania,ALB,2005,3,2005.5,2005-Q3,2005q3,0.0020690324921753,-6.180674176052386
ALB,Albania,ALB,2005,4,2005.75,2005-Q4,2005q4,0.0020794776012382,-6.175638570064035
ALB,Albania,ALB,2006,1,2006.0,2006-Q1,2006q1,0.0023079921015879,-6.0713773525310915
ALB,Albania,ALB,2006,2,2006.25,2006-Q2,2006q2,0.0023343834385846,-6.060007474727174
ALB,Albania,ALB,2006,3,2006.5,2006-Q3,2006q3,0.0023777514238099,-6.041600017796407
ALB,Albania,ALB,2006,4,2006.75,2006-Q4,2006q4,0.0024161125239691,-6.025595425503605
ALB,Albania,ALB,2007,1,2007.0,2007-Q1,2007q1,0.0026467662485863,-5.93441666768858
ALB,Albania,ALB,2007,2,2007.25,2007-Q2,2007q2,0.0026928932406864,-5.917139109203845
ALB,Albania,ALB,2007,3,2007.5,2007-Q3,2007q3,0.0027551280061247,-5.894291374253482
ALB,Albania,ALB,2007,4,2007.75,2007-Q4,2007q4,0.0028768053691851,-5.8510748473145835
ALB,Albania,ALB,2008,1,2008.0,2008-Q1,2008q1,0.0025029641907941,-5.990279573149381
ALB,Albania,ALB,2008,2,2008.25,2008-Q2,2008q2,0.0025388299846301,-5.976051940049435
ALB,Albania,ALB,2008,3,2008.5,2008-Q3,2008q3,0.0026177509398093,-5.945439749782613
ALB,Albania,ALB,2008,4,2008.75,2008-Q4,2008q4,0.0026209726301466,-5.944209797218627
ALB,Albania,ALB,2009,1,2009.0,2009-Q1,2009q1,0.0025644486060536,-5.966011791868579
ALB,Albania,ALB,2009,2,2009.25,2009-Q2,2009q2,0.0025789136137286,-5.960387048677823
ALB,Albania,ALB,2009,3,2009.5,2009-Q3,2009q3,0.0025354522993299,-5.977383236027881
ALB,Albania,ALB,2009,4,2009.75,2009-Q4,2009q4,0.0025108067400155,-5.98715116711495
ALB,Albania,ALB,2010,1,2010.0,2010-Q1,2010q1,0.0025677197226033,-5.96473704139931
ALB,Albania,ALB,2010,2,2010.25,2010-Q2,2010q2,0.0026058341591605,-5.9500024403856315
ALB,Albania,ALB,2010,3,2010.5,2010-Q3,2010q3,0.0026025434437574,-5.9512660645280615
ALB,Albania,ALB,2010,4,2010.75,2010-Q4,2010q4,0.0025961884918346,-5.953710874211222
ALB,Albania,ALB,2011,1,2011.0,2011-Q1,2011q1,0.0027281529463666,-5.904130475188875
ALB,Albania,ALB,2011,2,2011.25,2011-Q2,2011q2,0.0026238801709392,-5.943101075505848
ALB,Albania,ALB,2011,3,2011.5,2011-Q3,2011q3,0.0026640825845234,-5.927895526588019
ALB,Albania,ALB,2011,4,2011.75,2011-Q4,2011q4,0.002698709290134,-5.914981660960843
ALB,Albania,ALB,2012,1,2012.0,2012-Q1,2012q1,0.0026955762142714,-5.916143288839957
ALB,Albania,ALB,2012,2,2012.25,2012-Q2,2012q2,0.0026995911446194,-5.9146549453569595
ALB,Albania,ALB,2012,3,2012.5,2012-Q3,2012q3,0.0028677179999192,-5.854238687467125
ALB,Albania,ALB,2012,4,2012.75,2012-Q4,2012q4,0.0028098900550221,-5.874609922728592
ALB,Albania,ALB,2013,1,2013.0,2013-Q1,2013q1,0.0028802864080421,-5.849865542541991
ALB,Albania,ALB,2013,2,2013.25,2013-Q2,2013q2,0.0031603917262834,-5.7570592950524855
ALB,Albania,ALB,2013,3,2013.5,2013-Q3,2013q3,0.0031314892527067,-5.766246588000001
