time,ybar,tau,n,n_delta
1995.0,-4.548058668343124,-4.254074568586735,37,0
1995.25,-4.54442430638546,-4.2504402066290705,37,37
1995.5,-4.541335146134479,-4.24735104637809,37,37
1995.75,-4.538403585671166,-4.244419485914777,37,37
1996.0,-4.617317782682083,-4.241074895239452,40,37
1996.25,-4.68659627582614,-4.237156384572403,41,40
1996.5,-4.686137606860167,-4.236697715606429,41,41
1996.75,-4.679539212635356,-4.230099321381617,41,41
1997.0,-4.7957910988603825,-4.227431791231235,45,41
1997.25,-4.7827163840042495,-4.214357076375103,45,45
1997.5,-4.778018189646548,-4.2096588820174015,45,45
1997.75,-4.774551401254927,-4.206192093625781,45,45
1998.0,-4.781360001602147,-4.21051048353961,46,45
1998.25,-4.782065355211521,-4.211215837148984,46,46
1998.5,-4.7793215902246375,-4.2084720721621,46,46
1998.75,-4.7771449373055415,-4.206295419243004,46,46
1999.0,-4.812327690426025,-4.207959267711823,47,46
1999.25,-4.80903574681623,-4.2046673241020285,47,47
1999.5,-4.802479580996789,-4.198111158282587,47,47
1999.75,-4.792770706263977,-4.188402283549777,47,47
2000.0,-4.867829307766143,-4.184322194227946,51,47
2000.25,-4.864805261166896,-4.181298147628699,51,51
2000.5,-4.862006339434947,-4.17849922589675,51,51
2000.75,-4.856698191875216,-4.173191078337019,51,51
2001.0,-4.897412507111872,-4.173436552638961,52,51
2001.25,-4.897791285373709,-4.1738153309007995,52,52
2001.5,-4.898523578324163,-4.174547623851253,52,52
2001.75,-4.894706930150619,-4.17073097567771,52,52
2002.0,-4.956385835423735,-4.160998548399518,55,52
2002.25,-4.9485854930548,-4.153198206030584,55,55
2002.5,-4.94540805979577,-4.150020772771553,55,55
2002.75,-4.94085151767479,-4.145464230650573,55,55
2003.0,-4.970765814352037,-4.141425769568831,56,55
2003.25,-4.96592796327892,-4.136587918495714,56,56
2003.5,-4.955050395670475,-4.128497992287372,57,56
2003.75,-4.94597609045533,-4.119423687072228,57,57
2004.0,-4.9861750896869514,-4.111085956256169,58,57
2004.25,-4.9777915571286835,-4.102702423697901,58,58
2004.5,-4.970896143298472,-4.095807009867689,58,58
2004.75,-4.959244371828542,-4.084155238397759,58,58
2005.0,-4.999356653113105,-4.077929887448277,61,58
2005.25,-4.986907303168562,-4.065480537503734,61,61
2005.5,-4.980504595845266,-4.059077830180438,61,61
2005.75,-4.970892725111809,-4.04946595944698,61,61
2006.0,-4.994792656293236,-4.041249092843926,62,61
2006.25,-4.9875382082970665,-4.0339946448477555,62,62
2006.5,-4.980452158157636,-4.026908594708328,62,62
2006.75,-4.97064829473642,-4.017104731287111,62,62
2007.0,-4.998512432605066,-4.009536946518625,63,62
2007.25,-4.990339689802304,-4.0013642037158625,63,63
2007.5,-4.98149401753807,-3.9925185314516303,63,63
2007.75,-4.972572363949686,-3.983596877863246,63,63
2008.0,-4.986709528727138,-3.9819002994309596,65,63
2008.25,-4.983401623963045,-3.978592394666867,65,65
2008.5,-4.986389353070147,-3.981580123773969,65,65
2008.75,-5.000126719848203,-3.995317490552026,65,65
2009.0,-5.061078211884628,-4.010750592341259,67,65
2009.25,-5.054330056684198,-4.004002437140827,67,67
2009.5,-5.042559387448247,-3.992231767904877,67,67
2009.75,-5.035796249294637,-3.985468629751267,67,67
2010.0,-5.08920854700659,-3.9809103132822243,70,67
2010.25,-5.074903991913961,-3.9666057581895937,70,70
2010.5,-5.069035053833346,-3.9607368201089788,70,70
2010.75,-5.060047449310006,-3.9517492155856404,70,70
2011.0,-5.058241157467195,-3.949942923742827,70,70
2011.25,-5.0515113726008405,-3.9432131388764726,70,70
2011.5,-5.046194093047073,-3.9378958593227056,70,70
2011.75,-5.046093338128069,-3.937795104403702,70,70
2012.0,-5.045044788865781,-3.936746555141414,70,70
2012.25,-5.043328277284916,-3.935030043560548,70,70
2012.5,-5.039440790959671,-3.931142557235305,70,70
2012.75,-5.034521271569057,-3.9262230378446903,70,70
2013.0,-5.027994244797252,-3.9196960110728867,70,70
2013.25,-5.0192109285985795,-3.910912694874213,70,70
2013.5,-5.013817733287959,-3.905519499563591,70,70
2013.75,-5.011143561534732,-3.9028453278103648,70,70
2014.0,-5.030993966120925,-3.8987585832149927,71,70
2014.25,-5.02621838522413,-3.893983002318197,71,71
2014.5,-5.024160124097891,-3.8919247411919593,71,71
2014.75,-5.017420714756768,-3.8851853318508356,71,71
2015.0,-4.98751326335867,-3.8816374974488594,70,70
2015.25,-4.9829221925967015,-3.877046426686889,70,70
2015.5,-4.978858456546425,-3.872982690636614,70,70
2015.75,-4.979767828810291,-3.8738920629004796,70,70
2016.0,-5.004270353679679,-3.875143146019994,71,70
2016.25,-4.996935200099159,-3.8678079924394737,71,71
2016.5,-4.996425269212556,-3.867298061552871,71,71
2016.75,-4.988145708509453,-3.8590185008497677,71,71
2017.0,-5.011832328061928,-3.8543512382319376,73,71
2017.25,-5.004163966170823,-3.8466828763408323,73,73
2017.5,-4.989166366131802,-3.8432382853826903,72,72
2017.75,-4.983712549056701,-3.837784468307589,72,72
2018.0,-4.979256086829507,-3.8333280060803943,72,72
2018.25,-4.971620172637022,-3.8256920918879103,72,72
2018.5,-4.970186167818018,-3.824258087068906,72,72
2018.75,-4.9709073835384014,-3.8249793027892887,72,72
2019.0,-4.967319329468105,-3.821391248718992,72,72
2019.25,-4.959495023083388,-3.8135669423342766,72,72
2019.5,-4.958060503260239,-3.8121324225111266,72,72
2019.75,-4.961177826214723,-3.8152497454656107,72,72
2020.0,-4.960134739743476,-3.8142066589943626,72,72
2020.25,-5.028116423422129,-3.8821883426730164,72,72
2020.5,-4.973322374968067,-3.8273942942189545,72,72
2020.75,-4.9642167470045315,-3.8182886662554183,72,72
2021.0,-4.94521554383799,-3.799287463088877,72,72
2021.25,-4.913358512096812,-3.7942431087856,71,71
2021.5,-4.911036794258732,-3.7919213909475182,71,71
2021.75,-4.902740130528626,-3.7836247272174144,71,71
2022.0,-4.845182156306082,-3.7826875330083403,69,69
2022.25,-4.8445869755067505,-3.7820923522090077,69,69
2022.5,-4.84468710893611,-3.782192485638369,69,69
2022.75,-4.8439761082863075,-3.7814814849885647,69,69
2023.0,-4.8266117778742625,-3.7826650992036,66,66
2023.25,-4.824846086720149,-3.780899408049487,66,66
2023.5,-4.824658483176997,-3.7807118045063346,66,66
2023.75,-4.822718869375883,-3.7787721907052205,66,66
2024.0,-4.77248284362522,-3.775756017623659,63,63
2024.25,-4.767713232416096,-3.770986406414534,63,63
2024.5,-4.786568328097603,-3.765176436957072,62,62
2024.75,-4.783527574960967,-3.7621356838204347,62,62
2025.0,-4.561894374995501,-3.757840779633255,53,53
2025.25,-4.5215866458637315,-3.7528625569980663,52,52
2025.5,-4.507897078141931,-3.7482266086888907,51,51
2025.75,-4.344292299352182,-3.747151720080949,44,44
2026.0,-4.064846754651045,-3.7495381428027086,23,23
2026.25,-3.731796975327871,-3.7433013222682665,3,3
