time,ybar,tau,n,n_delta
1987.0,-4.337343529429433,-4.481349881312092,14,0
1987.25,-4.3285195793325695,-4.466714026030236,15,14
1987.5,-4.322211140112247,-4.460405586809914,15,15
1987.75,-4.314227805939854,-4.452422252637521,15,15
1988.0,-4.368148987847886,-4.442322929444476,16,15
1988.25,-4.365080254204659,-4.439254195801248,16,16
1988.5,-4.355633175150857,-4.429807116747446,16,16
1988.75,-4.3494857509937095,-4.4236596925903,16,16
1989.0,-4.347641057164562,-4.421814998761152,16,16
1989.25,-4.339185317921849,-4.4133592595184385,16,16
1989.5,-4.333497138212138,-4.407671079808729,16,16
1989.75,-4.326633313553621,-4.400807255150211,16,16
1990.0,-4.459786718945863,-4.3867053666741995,19,16
1990.25,-4.45895182713043,-4.385870474858766,19,19
1990.5,-4.456953660433849,-4.383872308162186,19,19
1990.75,-4.451522606171626,-4.378441253899963,19,19
1991.0,-4.483327349411333,-4.381595712705327,23,19
1991.25,-4.478834495301311,-4.377102858595306,23,23
1991.5,-4.475341352553787,-4.373609715847781,23,23
1991.75,-4.47121254412535,-4.3694809074193435,23,23
1992.0,-4.4604450765423325,-4.358713439836327,23,23
1992.25,-4.461437478539666,-4.35970584183366,23,23
1992.5,-4.455833786354519,-4.354102149648513,23,23
1992.75,-4.456011610637081,-4.3542799739310745,23,23
1993.0,-4.533311841200935,-4.339187708254939,24,23
1993.25,-4.5267009913145655,-4.33257685836857,24,24
1993.5,-4.519348242911289,-4.325224109965294,24,24
1993.75,-4.512155476790895,-4.3180313438449,24,24
1994.0,-4.542748705002859,-4.308212036872179,25,24
1994.25,-4.539925857191146,-4.305389189060465,25,25
1994.5,-4.530651387590821,-4.2961147194601415,25,25
1994.75,-4.520367353993347,-4.285830685862666,25,25
1995.0,-4.548058668343124,-4.285101076596557,37,25
1995.25,-4.54442430638546,-4.281466714638893,37,37
1995.5,-4.541335146134479,-4.2783775543879115,37,37
1995.75,-4.538403585671166,-4.275445993924598,37,37
1996.0,-4.617317782682083,-4.272101403249273,40,37
1996.25,-4.68659627582614,-4.2681828925822245,41,40
1996.5,-4.686137606860167,-4.267724223616251,41,41
1996.75,-4.679539212635355,-4.261125829391439,41,41
1997.0,-4.795791098860382,-4.258458299241057,45,41
1997.25,-4.7827163840042495,-4.245383584384926,45,45
1997.5,-4.778018189646549,-4.240685390027224,45,45
1997.75,-4.774551401254927,-4.237218601635603,45,45
1998.0,-4.781360001602149,-4.241536991549432,46,45
1998.25,-4.782065355211522,-4.242242345158806,46,46
1998.5,-4.7793215902246375,-4.239498580171921,46,46
1998.75,-4.7771449373055415,-4.237321927252826,46,46
1999.0,-4.812327690426025,-4.238985775721646,47,46
1999.25,-4.80903574681623,-4.235693832111851,47,47
1999.5,-4.8024795809967875,-4.229137666292409,47,47
1999.75,-4.792770706263978,-4.219428791559599,47,47
2000.0,-4.867829307766144,-4.215348702237767,51,47
2000.25,-4.864805261166896,-4.21232465563852,51,51
2000.5,-4.862006339434947,-4.209525733906572,51,51
2000.75,-4.856698191875216,-4.20421758634684,51,51
2001.0,-4.897412507111871,-4.2044630606487825,52,51
2001.25,-4.89779128537371,-4.204841838910621,52,52
