country,country_name,gdp_sa,n,t0,t1,emp_source
USA,United States,SA,306,1950-Q1,2026-Q2,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
KOR,"Korea, Republic of",SA,242,1966-Q1,2026-Q2,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
CAN,Canada,SA,202,1976-Q1,2026-Q2,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
AUS,Australia,SA,192,1978-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
NZL,New Zealand,SA,156,1987-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
NOR,Norway,SA,139,1990-Q1,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
SWE,Sweden,SA,133,1993-Q1,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
JPN,Japan,SA,130,1994-Q1,2026-Q2,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
SVK,Slovak Republic,SA,125,1995-Q1,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ESP,Spain,SA,125,1995-Q1,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
CZE,Czech Republic,SA,125,1995-Q1,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
HUN,Hungary,SA,122,1995-Q1,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
PRT,Portugal,SA,121,1995-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ISR,Israel,SA,120,1995-Q1,2024-Q4,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ITA,Italy,SA,117,1996-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
FIN,Finland,SA,116,1995-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
GRC,Greece,SA,116,1995-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
SVN,"Slovenia, Republic of",SA,114,1996-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
BEL,Belgium,SA,113,1995-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
FRA,France,SA,113,1983-Q1,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
AUT,Austria,SA,113,1995-Q1,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
DNK,Denmark,SA,113,1995-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
IRL,Ireland,SA,112,1995-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ROU,Romania,SA,111,1997-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
MEX,Mexico,SA,110,1995-Q2,2026-Q2,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
LVA,"Latvia, Republic of",SA,109,1996-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
NLD,"Netherlands, The",SA,109,1996-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
EST,"Estonia, Republic of",SA,108,1997-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
BGR,Bulgaria,SA,105,2000-Q1,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
LTU,"Lithuania, Republic of",SA,105,1998-Q2,2026-Q1,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
