country,period,gdp_per_worker,metadata,country_name,year,quarter,time,gdp_real_2015usd,emp_persons,gdp_sa,emp_source
ALB,2012-Q1,9550.521406449601,"gdp: IMF QNEA B1GQ constant-price LCU SA 2012-Q1; not annualized in source, multiplied by 4 to annualize | rebase: volume index vs 2015 real LCU [IMF ANEA B1GQ constant LCU 2015 annual] times 2015 current-price LCU [IMF ANEA B1GQ current LCU 2015 annual] divided by IMF ER XDC_USD period-average 2015 (XDC per USD) | employment: ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official); ILO source=BA:480; sex=SEX_T; age=AGE_YTHADULT_YGE15; values in thousands converted to persons (x1000) | gdp_per_worker = annualized real GDP in 2015 USD (market FX, not PPP) / employed persons",Albania,2012,1,2012.0,10925834691.063969,1144004.0,SA,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ALB,2012-Q2,9382.111189297271,"gdp: IMF QNEA B1GQ constant-price LCU SA 2012-Q2; not annualized in source, multiplied by 4 to annualize | rebase: volume index vs 2015 real LCU [IMF ANEA B1GQ constant LCU 2015 annual] times 2015 current-price LCU [IMF ANEA B1GQ current LCU 2015 annual] divided by IMF ER XDC_USD period-average 2015 (XDC per USD) | employment: ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official); ILO source=BA:480; sex=SEX_T; age=AGE_YTHADULT_YGE15; values in thousands converted to persons (x1000) | gdp_per_worker = annualized real GDP in 2015 USD (market FX, not PPP) / employed persons",Albania,2012,2,2012.25,10892115074.65872,1160945.0,SA,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ALB,2012-Q3,9898.420043239541,"gdp: IMF QNEA B1GQ constant-price LCU SA 2012-Q3; not annualized in source, multiplied by 4 to annualize | rebase: volume index vs 2015 real LCU [IMF ANEA B1GQ constant LCU 2015 annual] times 2015 current-price LCU [IMF ANEA B1GQ current LCU 2015 annual] divided by IMF ER XDC_USD period-average 2015 (XDC per USD) | employment: ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official); ILO source=BA:480; sex=SEX_T; age=AGE_YTHADULT_YGE15; values in thousands converted to persons (x1000) | gdp_per_worker = annualized real GDP in 2015 USD (market FX, not PPP) / employed persons",Albania,2012,3,2012.5,10946375671.637354,1105871.0,SA,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ALB,2012-Q4,9766.33191048559,"gdp: IMF QNEA B1GQ constant-price LCU SA 2012-Q4; not annualized in source, multiplied by 4 to annualize | rebase: volume index vs 2015 real LCU [IMF ANEA B1GQ constant LCU 2015 annual] times 2015 current-price LCU [IMF ANEA B1GQ current LCU 2015 annual] divided by IMF ER XDC_USD period-average 2015 (XDC per USD) | employment: ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official); ILO source=BA:480; sex=SEX_T; age=AGE_YTHADULT_YGE15; values in thousands converted to persons (x1000) | gdp_per_worker = annualized real GDP in 2015 USD (market FX, not PPP) / employed persons",Albania,2012,4,2012.75,10981009675.520323,1124374.0,SA,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ALB,2013-Q1,10184.37245326524,"gdp: IMF QNEA B1GQ constant-price LCU SA 2013-Q1; not annualized in source, multiplied by 4 to annualize | rebase: volume index vs 2015 real LCU [IMF ANEA B1GQ constant LCU 2015 annual] times 2015 current-price LCU [IMF ANEA B1GQ current LCU 2015 annual] divided by IMF ER XDC_USD period-average 2015 (XDC per USD) | employment: ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official); ILO source=BA:480; sex=SEX_T; age=AGE_YTHADULT_YGE15; values in thousands converted to persons (x1000) | gdp_per_worker = annualized real GDP in 2015 USD (market FX, not PPP) / employed persons",Albania,2013,1,2013.0,11124033577.665756,1092265.0,SA,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ALB,2013-Q2,10991.595549421369,"gdp: IMF QNEA B1GQ constant-price LCU SA 2013-Q2; not annualized in source, multiplied by 4 to annualize | rebase: volume index vs 2015 real LCU [IMF ANEA B1GQ constant LCU 2015 annual] times 2015 current-price LCU [IMF ANEA B1GQ current LCU 2015 annual] divided by IMF ER XDC_USD period-average 2015 (XDC per USD) | employment: ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official); ILO source=BA:480; sex=SEX_T; age=AGE_YTHADULT_YGE15; values in thousands converted to persons (x1000) | gdp_per_worker = annualized real GDP in 2015 USD (market FX, not PPP) / employed persons",Albania,2013,2,2013.25,11261725001.643948,1024576.0,SA,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ALB,2013-Q3,10682.484448426212,"gdp: IMF QNEA B1GQ constant-price LCU SA 2013-Q3; not annualized in source, multiplied by 4 to annualize | rebase: volume index vs 2015 real LCU [IMF ANEA B1GQ constant LCU 2015 annual] times 2015 current-price LCU [IMF ANEA B1GQ current LCU 2015 annual] divided by IMF ER XDC_USD period-average 2015 (XDC per USD) | employment: ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official); ILO source=BA:480; sex=SEX_T; age=AGE_YTHADULT_YGE15; values in thousands converted to persons (x1000) | gdp_per_worker = annualized real GDP in 2015 USD (market FX, not PPP) / employed persons",Albania,2013,3,2013.5,10637126619.458195,995754.0,SA,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ALB,2013-Q4,11433.719176607146,"gdp: IMF QNEA B1GQ constant-price LCU SA 2013-Q4; not annualized in source, multiplied by 4 to annualize | rebase: volume index vs 2015 real LCU [IMF ANEA B1GQ constant LCU 2015 annual] times 2015 current-price LCU [IMF ANEA B1GQ current LCU 2015 annual] divided by IMF ER XDC_USD period-average 2015 (XDC per USD) | employment: ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official); ILO source=BA:480; sex=SEX_T; age=AGE_YTHADULT_YGE15; values in thousands converted to persons (x1000) | gdp_per_worker = annualized real GDP in 2015 USD (market FX, not PPP) / employed persons",Albania,2013,4,2013.75,11250413790.76778,983968.0,SA,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ALB,2014-Q1,12066.227490190015,"gdp: IMF QNEA B1GQ constant-price LCU SA 2014-Q1; not annualized in source, multiplied by 4 to annualize | rebase: volume index vs 2015 real LCU [IMF ANEA B1GQ constant LCU 2015 annual] times 2015 current-price LCU [IMF ANEA B1GQ current LCU 2015 annual] divided by IMF ER XDC_USD period-average 2015 (XDC per USD) | employment: ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official); ILO source=BA:480; sex=SEX_T; age=AGE_YTHADULT_YGE15; values in thousands converted to persons (x1000) | gdp_per_worker = annualized real GDP in 2015 USD (market FX, not PPP) / employed persons",Albania,2014,1,2014.0,11245820550.677015,932008.0,SA,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
ALB,2014-Q2,10901.281558878465,"gdp: IMF QNEA B1GQ constant-price LCU SA 2014-Q2; not annualized in source, multiplied by 4 to annualize | rebase: volume index vs 2015 real LCU [IMF ANEA B1GQ constant LCU 2015 annual] times 2015 current-price LCU [IMF ANEA B1GQ current LCU 2015 annual] divided by IMF ER XDC_USD period-average 2015 (XDC per USD) | employment: ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official); ILO source=BA:480; sex=SEX_T; age=AGE_YTHADULT_YGE15; values in thousands converted to persons (x1000) | gdp_per_worker = annualized real GDP in 2015 USD (market FX, not PPP) / employed persons",Albania,2014,2,2014.25,11295602715.426216,1036172.0,SA,ILOSTAT EMP_TEMP_SEX_AGE_NB quarterly (official)
