STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,PRICE_TYPE,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,NA_STO,ACTIVITY,SECTOR,ACCOUNTS,INDEX_TYPE,PRICES,VINDEX_TYPE,TRANSFORMATION,UNIT,DERIVATION_TYPE,OVERLAP,IFS_FLAG,REFERENCE_PERIOD_REPORTED,COMPUTATIONAL_NOTE,CONFIDENTIALITY_STATUS
dataflow,IMF.STA:ANEA(6.0.1),R,ABW,B1GQ,Q,XDC,A,,,0,,,,,,,,,,,,,OL,true,2000,,
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,Q,XDC,A,2019,1418881742685.85,0,,,,,,,,,FB,,,O,OL,true,2016,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,Q,XDC,A,2020,1389639360913.5,0,,,,,,,,,FB,,,O,OL,true,2016,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,Q,XDC,A,2021,1101443835169.04,0,,,,,,,,,FB,,,O,OL,true,2016,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,Q,XDC,A,2022,1032711515764.91,0,,,,,,,,,FB,,,O,OL,true,2016,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,Q,XDC,A,2023,1056123442671.34,0,,,,,,,,,FB,,,O,OL,true,2016,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,Q,XDC,A,2024,1074604000000,0,,,,,,,,,FB,,,O,OL,true,2016,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2002,753573719667.664,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2003,779853189444.124,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2004,868911358324.777,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2005,991903828066.743,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2006,1109363272888.55,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2007,1253610328541.16,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2008,1388832712161.82,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2009,1416548106353.65,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2010,1491535427983.15,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2011,1545139266338.49,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2012,1676524356183.73,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2013,1758390068153.37,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2014,1840255848888.57,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2015,1854300271351.1,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2016,1822767332217.21,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2017,1820044186621.91,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2018,1809225639640.59,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2019,1805522512155.3,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2020,1732535217079.61,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2021,1768966145003.37,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2022,1843545803400.09,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2023,1866835467602.78,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,Q,XDC,A,2024,1949422525887.89,0,,,,,,,,,L,,,O,OL,true,2012,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AIA,B1GQ,Q,XDC,A,,,0,,,,,,,,,FB,,,,OL,true,2018,,
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,1995,598675262174.45,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,1996,642596048762.27,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,1997,567337941551.17,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,1998,614483867532.94,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,1999,689762615917.43,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2000,741238625466.74,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2001,806940020799.05,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2002,844288399452.4,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2003,889316530890.67,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2004,936150267108.54,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2005,984182470248.94,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2006,1043420228490.7,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2007,1111243509719.2,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2008,1187997791346.5,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2009,1219963859972.5,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2010,1256235269460,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2011,1287182836925.2,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2012,1299850241526.6,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2013,1322041652958.8,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2014,1351658079781.3,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2015,1381769012186.3,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2016,1435781362756.9,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2017,1482919731583.9,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2018,1537363592653.9,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2019,1569072921360.1,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2020,1517078306411.4,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2021,1653153321318.2,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2022,1732947736219.5,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2023,1802532817074.4,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2024,1875462005187.3,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,Q,XDC,A,2025,1945595189098.68,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2010,2357260000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2011,2336040000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2012,2188260000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2013,2127960000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2014,2174160000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2015,2210980000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2016,2282760000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2017,2292210000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2018,2340550000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2019,2401070000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2020,2209920000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2021,2373540000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2022,2531460000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2023,2637130000,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AND,B1GQ,Q,XDC,A,2024,2726524237,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ARE,B1GQ,Q,XDC,A,2010,1130161739966.621,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ARE,B1GQ,Q,XDC,A,2011,1206295217570.778,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ARE,B1GQ,Q,XDC,A,2012,1262789115902.648,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ARE,B1GQ,Q,XDC,A,2013,1324898774648.325,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ARE,B1GQ,Q,XDC,A,2014,1386280246589.979,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ARE,B1GQ,Q,XDC,A,2015,1484535163433.238,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ARE,B1GQ,Q,XDC,A,2016,1568528700296.977,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ARE,B1GQ,Q,XDC,A,2017,1551880789275.294,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ARE,B1GQ,Q,XDC,A,2018,1575736399160.612,0,,,,,,,,,FB,,,O,OL,true,2010,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ARE,B1GQ,Q,XDC,A,2019,1595768597422.84,0,,,,,,,,,FB,,,O,OL,true,2010,,F
