STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,PRICE_TYPE,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,NA_STO,ACTIVITY,SECTOR,ACCOUNTS,INDEX_TYPE,PRICES,VINDEX_TYPE,TRANSFORMATION,UNIT,DERIVATION_TYPE,OVERLAP,IFS_FLAG,REFERENCE_PERIOD_REPORTED,COMPUTATIONAL_NOTE,CONFIDENTIALITY_STATUS
dataflow,IMF.STA:ANEA(6.0.1),R,ABW,B1GQ,V,XDC,A,,,0,,,,,,,,,,,,,OL,true,,,
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2010,703502531481,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2011,837851306084,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2012,1007958858324,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2013,1102256428235,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2014,1116352636770,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2015,1143356665610,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2016,1236815285544,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2017,1294844692237,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2018,1359224725733,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2019,1505967415663,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2020,1534965529361,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2021,1251171760018,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2022,1283441410645,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2023,1357275000000,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AFG,B1GQ,V,XDC,A,2024,1280568000000,0,,,,,,,,,FB,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2002,753573719667.664,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2003,1517650932902.59,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2004,2255447871725.2,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2005,3608095308860.73,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2006,4713881568312.93,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2007,5602449613116.55,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2008,7412577530307.44,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2009,6481521799561,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2010,8781308453843.74,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2011,11793661418056,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2012,13706611875100,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2013,14840760473745.5,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2014,16165667821145.9,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2015,15807317332586.6,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2016,18781815985150,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2017,23200798623986.4,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2018,28873391111132.3,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2019,34538508018021.2,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2020,38466148275131.2,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2021,53277982458701.4,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2022,65586149318801.3,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2023,78322351898136.3,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AGO,B1GQ,V,XDC,A,2024,101910674907423,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,AIA,B1GQ,V,XDC,A,,,0,,,,,,,,,FB,,,,OL,true,,,
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,1995,272403839525,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,1996,340638672445,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,1997,341273846208,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,1998,396415636388,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,1999,455041870700,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2000,518774395481,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2001,589461332190,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2002,639384003832,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2003,706459015050,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2004,766224328031,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2005,829521457537,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2006,903669691723,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2007,1012573127397,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2008,1119284534918,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2009,1177341032765,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2010,1262378453647,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2011,1317840214196,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2012,1331802698445,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2013,1356283368910,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2014,1402214446136,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2015,1449315980941,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2016,1500338582443,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2017,1577599142217,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2018,1661121261383,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2019,1707582540883,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2020,1662252907030,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2021,1870218284476,0,,,,,,,,,L,,,O,OL,true,,,F
dataflow,IMF.STA:ANEA(6.0.1),R,ALB,B1GQ,V,XDC,A,2022,2150557763494,0,,,,,,,,,L,,,O,OL,true,,,F
