STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,EXRATE,STATISTICAL_MEASURES,TRANSFORMATION,DERIVATION_TYPE,OVERLAP,IFS_FLAG,STATUS
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1986,1.79,0,,,,,,R,OL,true,T
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1987,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1988,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1989,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1990,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1991,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1992,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1993,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1994,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1995,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1996,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1997,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1998,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,1999,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,2000,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,2001,1.79,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,ABW,XDC_USD,PA_RT,A,2002,1.79,0,,,,,,R,OL,true,
