STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,PRICE_TYPE,S_ADJUSTMENT,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,NA_STO,ACTIVITY,SECTOR,ACCOUNTS,INDEX_TYPE,PRICES,VINDEX_TYPE,TRANSFORMATION,UNIT,DERIVATION_TYPE,OVERLAP,IFS_FLAG,REFERENCE_PERIOD_REPORTED,COMPUTATIONAL_NOTE,CONFIDENTIALITY_STATUS
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1996-Q1,159530227249.32,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1996-Q2,160215629445.24,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1996-Q3,161127851446.53,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1996-Q4,160901824772.45,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1997-Q1,137776370060.22,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1997-Q2,139760067910.36,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1997-Q3,141613702339.99,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1997-Q4,146182904182.17,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1998-Q1,145857955379.93,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1998-Q2,152547668104.71,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1998-Q3,157873307214.75,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1998-Q4,163542267266.68,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1999-Q1,168802514773.17,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1999-Q2,172029940182.8,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1999-Q3,175600514953.21,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,1999-Q4,177078976684.21,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2000-Q1,181980008700.84,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2000-Q2,184079086321.28,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2000-Q3,188192297922.19,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2000-Q4,193494534987.23,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2001-Q1,198398378593.77,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2001-Q2,203202373988.18,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2001-Q3,206527247864.91,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2001-Q4,207094284757.68,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2002-Q1,209209064425.26,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2002-Q2,210250438539.49,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2002-Q3,211819222674.21,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2002-Q4,217824557399.23,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2003-Q1,219571683635.72,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2003-Q2,222055521663.09,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2003-Q3,226228416279.94,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2003-Q4,225437302268.21,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2004-Q1,230112857203.73,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2004-Q2,232709223504.16,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2004-Q3,235490128082.19,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2004-Q4,241955294727.64,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2005-Q1,240708395193.16,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2005-Q2,248108209547.36,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2005-Q3,249943308136.69,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2005-Q4,249317090277,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2006-Q1,257388691623.17,0,,,,,,,,,L,,,O,OL,true,2010,,F
dataflow,IMF.STA:QNEA(7.0.0),R,ALB,B1GQ,Q,SA,XDC,Q,2006-Q2,258893508228.87,0,,,,,,,,,L,,,O,OL,true,2010,,F
