year,quarter,t,country,iso3,GDPnomunsa,GDPnomsa,GDPrealunsa,GDPrealsa,empl,empl_source,empl_q,empl_interp,empl_annual,realGDP_empl
2008,1,2008q1,Albania,ALB,237900.601201,,,,1081.693407245532,interpolated from annual,,1081.693407245532,1123.156,
2008,2,2008q2,Albania,ALB,278906.776673,,,,1118.430286694236,interpolated from annual,,1118.430286694236,1123.156,
2008,3,2008q3,Albania,ALB,275710.738627,,,,1141.524439724352,interpolated from annual,,1141.524439724352,1123.156,
2008,4,2008q4,Albania,ALB,288157.928989,,,,1150.97586633588,interpolated from annual,,1150.97586633588,1123.156,
2009,1,2009q1,Albania,ALB,255422.328384,,269941.36188,,1150.294691335389,interpolated from annual,,1150.294691335389,1160.508,
2009,2,2009q2,Albania,ALB,308661.538998,,324894.603772,,1159.663590121949,interpolated from annual,,1159.663590121949,1160.508,
2009,3,2009q3,Albania,ALB,289559.385268,,300378.46999,,1165.19244939328,interpolated from annual,,1165.19244939328,1160.508,
2009,4,2009q4,Albania,ALB,290294.204925,,300121.34148,,1166.881269149382,interpolated from annual,,1166.881269149382,1160.508,
2010,1,2010q1,Albania,ALB,271334.638836,,275301.105782,,1166.527892452505,interpolated from annual,,1166.527892452505,1167.241,
2010,2,2010q2,Albania,ALB,326212.756898,,331209.907636,,1168.213760822337,interpolated from annual,,1168.213760822337,1167.241,
2010,3,2010q3,Albania,ALB,313474.192469,,314111.362308,,1168.083934184916,interpolated from annual,,1168.083934184916,1167.241,
2010,4,2010q4,Albania,ALB,328623.996533,,319023.209011,,1166.138412540241,interpolated from annual,,1166.138412540241,1167.241,
2011,1,2011q1,Albania,ALB,296570.068477,,292272.294936,,1164.626548957416,interpolated from annual,,1164.626548957416,1159.471,
2011,2,2011q2,Albania,ALB,327168.478856,,326390.182264,,1162.680302612263,interpolated from annual,,1162.680302612263,1159.471,
2011,3,2011q3,Albania,ALB,324062.844667,,320283.47135,,1158.497876827423,interpolated from annual,,1158.497876827423,1159.471,
2011,4,2011q4,Albania,ALB,352822.688336,,332252.609843,,1152.079271602898,interpolated from annual,,1152.079271602898,1159.471,
2012,1,2012q1,Albania,ALB,298737.37901,,290012.63487,,1144.004,observed quarterly,1144.004,1154.153613097283,1133.846,
2012,2,2012q2,Albania,ALB,346824.552012,,340268.114816,,1160.945,observed quarterly,1160.945,1147.687425832298,1133.846,
2012,3,2012q3,Albania,ALB,335372.228503,,324695.630121,,1105.871,observed quarterly,1105.871,1130.612906367507,1133.846,
2012,4,2012q4,Albania,ALB,351876.818631,,334241.745858,,1124.374,observed quarterly,1124.374,1102.930054702912,1133.846,
2013,1,2013q1,Albania,ALB,311321.312983,,295244.264236,,1092.265,observed quarterly,1092.265,1051.205754313411,1024.141,
2013,2,2013q2,Albania,ALB,359025.456622,,350362.146646,,1024.576,observed quarterly,1024.576,1024.141863439388,1024.141,
2013,3,2013q3,Albania,ALB,325849.147916,,316091.490285,,995.754,observed quarterly,995.754,1010.609054562989,1024.141,
2013,4,2013q4,Albania,ALB,353856.718418,,340438.034394,,983.968,observed quarterly,983.968,1010.607327684213,1024.141,
2014,1,2014q1,Albania,ALB,315138.849243,,299961.103134,,932.008,observed quarterly,932.008,1016.957906138319,1024.134,
2014,2,2014q2,Albania,ALB,370524.503875,,351983.119844,,1036.172,observed quarterly,1036.172,1016.956168405001,1024.134,
2014,3,2014q3,Albania,ALB,348623.610304,,331947.612668,,1070.287,observed quarterly,1070.287,1024.133131133341,1024.134,
2014,4,2014q4,Albania,ALB,361017.668795,,341350.333653,,1058.07,observed quarterly,1058.07,1038.488794323339,1024.134,
2015,1,2015q1,Albania,ALB,318749.885834,,305419.47089,,1060.661,observed quarterly,1060.661,1058.910853394984,1081.962,
2015,2,2015q2,Albania,ALB,383680.663104,,359283.743426,,1075.775,observed quarterly,1075.775,1073.349232636183,1081.962,
2015,3,2015q3,Albania,ALB,360197.406815,,341347.891936,,1089.653,observed quarterly,1089.653,1089.1811896206,1081.962,
2015,4,2015q4,Albania,ALB,371678.554939,,348596.218589,,1101.759,observed quarterly,1101.759,1106.406724348233,1081.962,
2016,1,2016q1,Albania,ALB,332999.547986,,316703.853974,,1114.563,observed quarterly,1114.563,1128.539076562194,1150.953,
2016,2,2016q2,Albania,ALB,385332.532733,,370718.443635,,1148.497,observed quarterly,1148.497,1145.839833903214,1150.953,
2016,3,2016q3,Albania,ALB,366009.737771,,349368.196293,,1182.211,observed quarterly,1182.211,1159.60337867051,1150.953,
2016,4,2016q4,Albania,ALB,388137.308131,,362762.776573,,1158.541,observed quarterly,1158.541,1169.829710864082,1150.953,
2017,1,2017q1,Albania,ALB,351337.720371,,330280.202016,,1159.465,observed quarterly,1159.465,1176.879459834037,1191.733,
2017,2,2017q2,Albania,ALB,410194.054954,,386201.614493,,1188.86,observed quarterly,1188.86,1187.078263847506,1191.733,
2017,3,2017q3,Albania,ALB,385202.97215,,361321.742573,,1204.983,observed quarterly,1204.983,1196.832402006735,1191.733,
2017,4,2017q4,Albania,ALB,403910.738427,,374963.497947,,1213.624,observed quarterly,1213.624,1206.141874311722,1191.733,
