country,country_name,year,quarter,time,period,realGDP_empl,y
ARG,Argentina,2004,1,2004.0,2004-Q1,0.013129503,-4.33289344363061
ARG,Argentina,2004,2,2004.25,2004-Q2,0.012825114,-4.3563499990759205
ARG,Argentina,2004,3,2004.5,2004-Q3,0.013215076,-4.326396979901937
ARG,Argentina,2004,4,2004.75,2004-Q4,0.013242289,-4.324339858219823
ARG,Argentina,2005,1,2005.0,2005-Q1,0.013879707,-4.277327433636374
ARG,Argentina,2005,2,2005.25,2005-Q2,0.013987686,-4.269577907845374
ARG,Argentina,2005,3,2005.5,2005-Q3,0.013713686,-4.289360966692429
ARG,Argentina,2005,4,2005.75,2005-Q4,0.01385869,-4.2788428062818715
ARG,Argentina,2006,1,2006.0,2006-Q1,0.014372501,-4.242438550889513
ARG,Argentina,2006,2,2006.25,2006-Q2,0.014195669,-4.2548183608968815
ARG,Argentina,2006,3,2006.5,2006-Q3,0.014373716,-4.242354018027277
ARG,Argentina,2006,4,2006.75,2006-Q4,0.014533873,-4.231273284957149
ARG,Argentina,2007,1,2007.0,2007-Q1,0.014963875,-4.202116315912576
ARG,Argentina,2007,2,2007.25,2007-Q2,0.015025803,-4.197986355729392
ARG,Argentina,2007,3,2007.5,2007-Q3,0.015418238,-4.172204184561419
ARG,Argentina,2007,4,2007.75,2007-Q4,0.015784176,-4.148747359791805
ARG,Argentina,2008,1,2008.0,2008-Q1,0.015978543,-4.136508519271423
ARG,Argentina,2008,2,2008.25,2008-Q2,0.015919177,-4.140230795882083
ARG,Argentina,2008,3,2008.5,2008-Q3,0.016057922,-4.131552968623396
ARG,Argentina,2008,4,2008.75,2008-Q4,0.015016388,-4.198613140926798
ARG,Argentina,2009,1,2009.0,2009-Q1,0.014492436,-4.234128420837418
ARG,Argentina,2009,2,2009.25,2009-Q2,0.01421353,-4.253560951115402
ARG,Argentina,2009,3,2009.5,2009-Q3,0.014878547,-4.207834902194516
ARG,Argentina,2009,4,2009.75,2009-Q4,0.014949825,-4.203055684899573
ARG,Argentina,2010,1,2010.0,2010-Q1,0.01544925,-4.170194820505986
ARG,Argentina,2010,2,2010.25,2010-Q2,0.015992761,-4.135619096623083
ARG,Argentina,2010,3,2010.5,2010-Q3,0.016023217,-4.133716546016209
ARG,Argentina,2010,4,2010.75,2010-Q4,0.016195253,-4.12303710437528
ARG,Argentina,2011,1,2011.0,2011-Q1,0.01659058,-4.0989202145711285
ARG,Argentina,2011,2,2011.25,2011-Q2,0.016426098,-4.10888386753071
ARG,Argentina,2011,3,2011.5,2011-Q3,0.016479852,-4.105616735123661
ARG,Argentina,2011,4,2011.75,2011-Q4,0.016528023,-4.102697975027894
ARG,Argentina,2012,1,2012.0,2012-Q1,0.016617101,-4.097322933168756
ARG,Argentina,2012,2,2012.25,2012-Q2,0.015802197,-4.147606297982947
ARG,Argentina,2012,3,2012.5,2012-Q3,0.016083285,-4.129974745051115
ARG,Argentina,2012,4,2012.75,2012-Q4,0.016379446,-4.111728022863003
ARG,Argentina,2013,1,2013.0,2013-Q1,0.016680298,-4.0935270165036926
ARG,Argentina,2013,2,2013.25,2013-Q2,0.016432414,-4.10849943137135
ARG,Argentina,2013,3,2013.5,2013-Q3,0.01652685,-4.102768947921996
ARG,Argentina,2013,4,2013.75,2013-Q4,0.016201792,-4.122633425577488
ARG,Argentina,2014,1,2014.0,2014-Q1,0.016120305,-4.127675621487113
ARG,Argentina,2014,2,2014.25,2014-Q2,0.016001388,-4.135079810504919
ARG,Argentina,2014,3,2014.5,2014-Q3,0.015850186,-4.14457404371193
ARG,Argentina,2014,4,2014.75,2014-Q4,0.015607507,-4.1600032625261525
ARG,Argentina,2015,1,2015.0,2015-Q1,0.01606022,-4.13140987192721
ARG,Argentina,2015,2,2015.25,2015-Q2,0.016388437,-4.1111792537999765
ARG,Argentina,2015,3,2015.5,2015-Q3,0.016173996,-4.124350511619036
ARG,Argentina,2015,4,2015.75,2015-Q4,0.015925149,-4.139855721209753
ARG,Argentina,2016,1,2016.0,2016-Q1,0.015745146,-4.15122315168713
ARG,Argentina,2016,2,2016.25,2016-Q2,0.015471933,-4.168727670683884
ARG,Argentina,2016,3,2016.5,2016-Q3,0.015339421,-4.1773292282142975
ARG,Argentina,2016,4,2016.75,2016-Q4,0.015458883,-4.169571489403334
ARG,Argentina,2017,1,2017.0,2017-Q1,0.015775912,-4.149271059230721
ARG,Argentina,2017,2,2017.25,2017-Q2,0.015839804,-4.145229266409786
ARG,Argentina,2017,3,2017.5,2017-Q3,0.015647758,-4.157427631044437
ARG,Argentina,2017,4,2017.75,2017-Q4,0.015537144,-4.164521734716729
ARG,Argentina,2018,1,2018.0,2018-Q1,0.015634067,-4.158302963661647
ARG,Argentina,2018,2,2018.25,2018-Q2,0.015099129,-4.193118218944141
ARG,Argentina,2018,3,2018.5,2018-Q3,0.014847029,-4.2099555010896355
ARG,Argentina,2018,4,2018.75,2018-Q4,0.014653075,-4.22310506793356
ARG,Argentina,2019,1,2019.0,2019-Q1,0.014500493,-4.233572630133596
ARG,Argentina,2019,2,2019.25,2019-Q2,0.014429399,-4.238487556405365
ARG,Argentina,2019,3,2019.5,2019-Q3,0.014604433,-4.2264301662171615
ARG,Argentina,2019,4,2019.75,2019-Q4,0.01404543,-4.26545820301705
ARG,Argentina,2020,1,2020.0,2020-Q1,0.013598377,-4.297804831596799
ARG,Argentina,2020,2,2020.25,2020-Q2,0.014756509,-4.216071005399689
ARG,Argentina,2020,3,2020.5,2020-Q3,0.014667764,-4.222103118348908
ARG,Argentina,2020,4,2020.75,2020-Q4,0.014229777,-4.252418538120527
ARG,Argentina,2021,1,2021.0,2021-Q1,0.01408495,-4.262648427535856
ARG,Argentina,2021,2,2021.25,2021-Q2,0.014190999,-4.255147388596937
ARG,Argentina,2021,3,2021.5,2021-Q3,0.014018135,-4.267403430475273
ARG,Argentina,2021,4,2021.75,2021-Q4,0.014059461,-4.264459729038575
ARG,Argentina,2022,1,2022.0,2022-Q1,0.014345613,-4.24431109780236
ARG,Argentina,2022,2,2022.25,2022-Q2,0.014132643,-4.259268050944881
ARG,Argentina,2022,3,2022.5,2022-Q3,0.014196347,-4.254770600991412
ARG,Argentina,2022,4,2022.75,2022-Q4,0.013709638,-4.289656189841118
ARG,Argentina,2023,1,2023.0,2023-Q1,0.013743373,-4.287198534687725
ARG,Argentina,2023,2,2023.25,2023-Q2,0.013471687,-4.307165055124987
ARG,Argentina,2023,3,2023.5,2023-Q3,0.013496234,-4.305344595418122
ARG,Argentina,2023,4,2023.75,2023-Q4,0.0130434,-4.339473020273085
ARG,Argentina,2024,1,2024.0,2024-Q1,0.013103869,-4.33484774886889
AUS,Australia,1978,2,1978.25,1978-Q2,0.025854645,-3.6552650036478633
AUS,Australia,1978,3,1978.5,1978-Q3,0.0263323,-3.636958956459483
AUS,Australia,1978,4,1978.75,1978-Q4,0.026343292,-3.6365416094590146
AUS,Australia,1979,1,1979.0,1979-Q1,0.027197242,-3.6046397078800383
AUS,Australia,1979,2,1979.25,1979-Q2,0.026553592,-3.6285902485432415
AUS,Australia,1979,3,1979.5,1979-Q3,0.026681667,-3.6237785786272165
AUS,Australia,1979,4,1979.75,1979-Q4,0.026800837,-3.6193221606097308
AUS,Australia,1980,1,1980.0,1980-Q1,0.026943512,-3.6140127527251935
AUS,Australia,1980,2,1980.25,1980-Q2,0.026765836,-3.620628980802994
AUS,Australia,1980,3,1980.5,1980-Q3,0.026644366,-3.625177557849377
AUS,Australia,1980,4,1980.75,1980-Q4,0.026912313,-3.615171364759828
AUS,Australia,1981,1,1981.0,1981-Q1,0.027085755,-3.608747335053102
AUS,Australia,1981,2,1981.25,1981-Q2,0.027199797,-3.60454576894333
AUS,Australia,1981,3,1981.5,1981-Q3,0.027649343,-3.5881533125980867
AUS,Australia,1981,4,1981.75,1981-Q4,0.027444934,-3.5955736817927955
AUS,Australia,1982,1,1982.0,1982-Q1,0.027367601,-3.5983954104835565
AUS,Australia,1982,2,1982.25,1982-Q2,0.027608236,-3.5896411449760857
AUS,Australia,1982,3,1982.5,1982-Q3,0.027480364,-3.594283565718627
AUS,Australia,1982,4,1982.75,1982-Q4,0.027166327,-3.6057770505490785
AUS,Australia,1983,1,1983.0,1983-Q1,0.027495509,-3.5937325967369023
AUS,Australia,1983,2,1983.25,1983-Q2,0.027369425,-3.59832876455359
