country,country_name,year,quarter,time,period,gdp_per_worker,y
ALB,Albania,2012,1,2012.0,2012-Q1,9550.5214064496,9.164351029518373
ALB,Albania,2012,2,2012.25,2012-Q2,9382.111189297271,9.146560090160882
ALB,Albania,2012,3,2012.5,2012-Q3,9898.42004323954,9.200130431794623
ALB,Albania,2012,4,2012.75,2012-Q4,9766.33191048559,9.186696230372732
ALB,Albania,2013,1,2013.0,2013-Q1,10184.37245326524,9.228609711962955
ALB,Albania,2013,2,2013.25,2013-Q2,10991.595549421369,9.304886218790761
ALB,Albania,2013,3,2013.5,2013-Q3,10682.484448426212,9.276360711718029
ALB,Albania,2013,4,2013.75,2013-Q4,11433.719176607146,9.344322091141612
ALB,Albania,2014,1,2014.0,2014-Q1,12066.227490190016,9.398165712642802
ALB,Albania,2014,2,2014.25,2014-Q2,10901.281558878463,9.296635635514964
ALB,Albania,2014,3,2014.5,2014-Q3,10516.725138819404,9.260722139236925
ALB,Albania,2014,4,2014.75,2014-Q4,10707.814487524804,9.278729079828683
ALB,Albania,2015,1,2015.0,2015-Q1,10752.191414342957,9.28286486527773
ALB,Albania,2015,2,2015.25,2015-Q2,10643.630031488448,9.272716873083914
ALB,Albania,2015,3,2015.5,2015-Q3,10681.65011791196,9.27628260600192
ALB,Albania,2015,4,2015.75,2015-Q4,10699.580920932236,9.277959853414965
ALB,Albania,2016,1,2016.0,2016-Q1,10682.788982214952,9.27638921907973
ALB,Albania,2016,2,2016.25,2016-Q2,10461.220946762518,9.25543045611895
ALB,Albania,2016,3,2016.5,2016-Q3,10307.18994191722,9.240596983305647
ALB,Albania,2016,4,2016.75,2016-Q4,10598.089478795318,9.268429026005867
ALB,Albania,2017,1,2017.0,2017-Q1,10593.92599266776,9.268036096302062
ALB,Albania,2017,2,2017.25,2017-Q2,10401.763318790054,9.249730620641166
ALB,Albania,2017,3,2017.5,2017-Q3,10246.07223334769,9.234649714381353
ALB,Albania,2017,4,2017.75,2017-Q4,10364.164317688756,9.246109396215594
ALB,Albania,2018,1,2018.0,2018-Q1,10452.328761076904,9.254580080515984
ALB,Albania,2018,2,2018.25,2018-Q2,10486.696376160437,9.257862721013296
ALB,Albania,2018,3,2018.5,2018-Q3,10513.990396898658,9.260462068015714
ALB,Albania,2018,4,2018.75,2018-Q4,10361.979585308276,9.245898577223041
ALB,Albania,2019,1,2019.0,2019-Q1,10544.375345986293,9.263347854172643
ALB,Albania,2019,2,2019.25,2019-Q2,10314.826793212356,9.241337633625383
